"Source:","D:\10 Products\OFlow_Basic\PCB\Oflow_pcb.kicad_sch"
"Date:","14-04-2023 14:35:27"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BZ1","Buzzer 5V","Device:Buzzer","myLib:Buzzer_12x9.5RM7.6","~"
"","","C1","10uF","Oflow_pcb-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C2","10uF","Oflow_pcb-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C3","10uF","Oflow_pcb-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"","","C4","1000uF","Oflow_pcb-rescue:CP1-Device","myLib:CP_Radial_D10.0mm_P5.00mm",""
"","","C6","0.1uF","Oflow_pcb-rescue:CP1_Small-Device","myLib:CP_Radial_D5.0mm_P2.50mm",""
"","","C7","10uF","Oflow_pcb-rescue:CP1-Device","myLib:CP_Radial_D5.0mm_P2.50mm",""
"","","C8","104","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D3","LED_RED","Device:LED","MyLib:LED_D3.0mm_GLASS_RED","~"
"","","D4","LED_RED","Device:LED","MyLib:LED_D3.0mm_GLASS_RED","~"
"","","D5","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_BLUE","~"
"","","D6","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_GREEN","~"
"","","D7","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_ORANGE","~"
"","","D8","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_RED","~"
"","","D9","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D10","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D11","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D12","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D13","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D14","D_Zener","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"","","D15","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D16","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","Conn_01x04","Connector_Generic:Conn_01x04","myLib:TerminalBlock_bornier-4_P5.08mm","~"
"","","J2","Conn_01x03","Connector_Generic:Conn_01x03","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type175_RT02703HBLC_1x03_P7.50mm_Horizontal","~"
"","","J3","Conn_01x02","Connector_Generic:Conn_01x02","myLib:TerminalBlock_bornier-2_P5.08mm","~"
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","K1","RAYEX-L90","Relay:RAYEX-L90","myLib:Relay_SPDT_RAYEX-L90","https://a3.sofastcdn.com/attachment/7jioKBjnRiiSrjrjknRiwS77gwbf3zmp/L90-SERIES.pdf"
"","","Q1","BC547","Transistor_BJT:BC547","MyLib:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q4","2N2219","Transistor_BJT:2N2219","myLib:TO-92L_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"","","Q5","BC547","Transistor_BJT:BC547","myLib:TO-92L_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","R1","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R2","330R","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","330R","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","330R","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R5","10K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R7","330K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R8","10k","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R9","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R10","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R11","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R12","10K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R13","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R14","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R15","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R16","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R17","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R18","10k","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"","","R19","10K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R20","10k","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","U1","PIC16F676-I_P","Oflow_pcb-rescue:PIC16F676-I_P-2021-09-19_07-28-17","Package_DIP:DIP-14_W7.62mm_LongPads",""
"","","U2","L7805","Regulator_Linear:L7805","myLib:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BZ1","Buzzer 5V","Device:Buzzer","myLib:Buzzer_12x9.5RM7.6","~"
"2","3","C1, C2, C3","10uF","Oflow_pcb-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","1","C4","1000uF","Oflow_pcb-rescue:CP1-Device","myLib:CP_Radial_D10.0mm_P5.00mm",""
"4","1","C6","0.1uF","Oflow_pcb-rescue:CP1_Small-Device","myLib:CP_Radial_D5.0mm_P2.50mm",""
"5","1","C7","10uF","Oflow_pcb-rescue:CP1-Device","myLib:CP_Radial_D5.0mm_P2.50mm",""
"6","1","C8","104","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"7","9","D1, D2, D9, D10, D11, D12, D13, D15, D16","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"8","2","D3, D4","LED_RED","Device:LED","MyLib:LED_D3.0mm_GLASS_RED","~"
"9","1","D5","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_BLUE","~"
"10","1","D6","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_GREEN","~"
"11","1","D7","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_ORANGE","~"
"12","1","D8","LED","Device:LED","MyLib:LED_D3.0mm_GLASS_RED","~"
"13","1","D14","D_Zener","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"14","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","myLib:TerminalBlock_bornier-4_P5.08mm","~"
"15","1","J2","Conn_01x03","Connector_Generic:Conn_01x03","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type175_RT02703HBLC_1x03_P7.50mm_Horizontal","~"
"16","1","J3","Conn_01x02","Connector_Generic:Conn_01x02","myLib:TerminalBlock_bornier-2_P5.08mm","~"
"17","1","J4","Conn_01x02","Connector_Generic:Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"18","1","K1","RAYEX-L90","Relay:RAYEX-L90","myLib:Relay_SPDT_RAYEX-L90","https://a3.sofastcdn.com/attachment/7jioKBjnRiiSrjrjknRiwS77gwbf3zmp/L90-SERIES.pdf"
"19","1","Q1","BC547","Transistor_BJT:BC547","MyLib:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"20","1","Q4","2N2219","Transistor_BJT:2N2219","myLib:TO-92L_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"21","1","Q5","BC547","Transistor_BJT:BC547","myLib:TO-92L_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"22","9","R1, R9, R10, R11, R13, R14, R15, R16, R17","330R","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"23","3","R2, R3, R4","330R","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"24","2","R5, R19","10K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"25","1","R7","330K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"26","2","R8, R18","10k","Device:R","myLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"27","1","R12","10K","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal2mm","~"
"28","1","R20","10k","Device:R","MyLib:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"29","1","U1","PIC16F676-I_P","Oflow_pcb-rescue:PIC16F676-I_P-2021-09-19_07-28-17","Package_DIP:DIP-14_W7.62mm_LongPads",""
